path,file_name,class
./Audio_Dataset/overheads/Overhead Sample 15.wav,Overhead Sample 15.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 14.wav,Overhead Sample 14.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 28.wav,Overhead Sample 28.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 10.wav,Overhead Sample 10.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 38.wav,Overhead Sample 38.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 39.wav,Overhead Sample 39.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 11.wav,Overhead Sample 11.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 8.wav,Overhead Sample 8.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 13.wav,Overhead Sample 13.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 12.wav,Overhead Sample 12.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 9.wav,Overhead Sample 9.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 40.wav,Overhead Sample 40.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 4.wav,Overhead Sample 4.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 23.wav,Overhead Sample 23.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 37.wav,Overhead Sample 37.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 36.wav,Overhead Sample 36.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 22.wav,Overhead Sample 22.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 5.wav,Overhead Sample 5.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 7.wav,Overhead Sample 7.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 34.wav,Overhead Sample 34.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 20.wav,Overhead Sample 20.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 21.wav,Overhead Sample 21.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 35.wav,Overhead Sample 35.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 6.wav,Overhead Sample 6.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 2.wav,Overhead Sample 2.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 31.wav,Overhead Sample 31.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 25.wav,Overhead Sample 25.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 19.wav,Overhead Sample 19.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 18.wav,Overhead Sample 18.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 24.wav,Overhead Sample 24.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 30.wav,Overhead Sample 30.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 3.wav,Overhead Sample 3.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 1.wav,Overhead Sample 1.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 26.wav,Overhead Sample 26.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 32.wav,Overhead Sample 32.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 33.wav,Overhead Sample 33.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 27.wav,Overhead Sample 27.wav,overheads
./Audio_Dataset/toms/Tom Sample 40.wav,Tom Sample 40.wav,toms
./Audio_Dataset/toms/Tom Sample 36.wav,Tom Sample 36.wav,toms
./Audio_Dataset/toms/Tom Sample 22.wav,Tom Sample 22.wav,toms
./Audio_Dataset/toms/Tom Sample 9.wav,Tom Sample 9.wav,toms
./Audio_Dataset/toms/Tom Sample 8.wav,Tom Sample 8.wav,toms
./Audio_Dataset/toms/Tom Sample 23.wav,Tom Sample 23.wav,toms
./Audio_Dataset/toms/Tom Sample 37.wav,Tom Sample 37.wav,toms
./Audio_Dataset/toms/Tom Sample 21.wav,Tom Sample 21.wav,toms
./Audio_Dataset/toms/Tom Sample 35.wav,Tom Sample 35.wav,toms
./Audio_Dataset/toms/Tom Sample 34.wav,Tom Sample 34.wav,toms
./Audio_Dataset/toms/Tom Sample 20.wav,Tom Sample 20.wav,toms
./Audio_Dataset/toms/Tom Sample 24.wav,Tom Sample 24.wav,toms
./Audio_Dataset/toms/Tom Sample 30.wav,Tom Sample 30.wav,toms
./Audio_Dataset/toms/Tom Sample 18.wav,Tom Sample 18.wav,toms
./Audio_Dataset/toms/Tom Sample 19.wav,Tom Sample 19.wav,toms
./Audio_Dataset/toms/Tom Sample 31.wav,Tom Sample 31.wav,toms
./Audio_Dataset/toms/Tom Sample 25.wav,Tom Sample 25.wav,toms
./Audio_Dataset/toms/Tom Sample 33.wav,Tom Sample 33.wav,toms
./Audio_Dataset/toms/Tom Sample 27.wav,Tom Sample 27.wav,toms
./Audio_Dataset/toms/Tom Sample 26.wav,Tom Sample 26.wav,toms
./Audio_Dataset/toms/Tom Sample 32.wav,Tom Sample 32.wav,toms
./Audio_Dataset/toms/Tom Sample 17.wav,Tom Sample 17.wav,toms
./Audio_Dataset/toms/Tom Sample 1.wav,Tom Sample 1.wav,toms
./Audio_Dataset/toms/Tom Sample 16.wav,Tom Sample 16.wav,toms
./Audio_Dataset/toms/Tom Sample 28.wav,Tom Sample 28.wav,toms
./Audio_Dataset/toms/Tom Sample 14.wav,Tom Sample 14.wav,toms
./Audio_Dataset/toms/Tom Sample 3.wav,Tom Sample 3.wav,toms
./Audio_Dataset/toms/Tom Sample 2.wav,Tom Sample 2.wav,toms
./Audio_Dataset/toms/Tom Sample 15.wav,Tom Sample 15.wav,toms
./Audio_Dataset/toms/Tom Sample 29.wav,Tom Sample 29.wav,toms
./Audio_Dataset/toms/Tom Sample 11.wav,Tom Sample 11.wav,toms
./Audio_Dataset/toms/Tom Sample 39.wav,Tom Sample 39.wav,toms
./Audio_Dataset/toms/Tom Sample 6.wav,Tom Sample 6.wav,toms
./Audio_Dataset/toms/Tom Sample 7.wav,Tom Sample 7.wav,toms
./Audio_Dataset/toms/Tom Sample 38.wav,Tom Sample 38.wav,toms
./Audio_Dataset/toms/Tom Sample 10.wav,Tom Sample 10.wav,toms
./Audio_Dataset/toms/Tom Sample 12.wav,Tom Sample 12.wav,toms
./Audio_Dataset/toms/Tom Sample 5.wav,Tom Sample 5.wav,toms
./Audio_Dataset/toms/Tom Sample 4.wav,Tom Sample 4.wav,toms
./Audio_Dataset/toms/Tom Sample 13.wav,Tom Sample 13.wav,toms
